division_lat,division_ru,class_lat,class_ru,order_lat,order_ru,family_lat,family_ru,family_takhtajan,genus_lat,genus_ru,species_sci,species_ru,species_uz,plantarium_url,life_form,habitat_env,habitat_place,usage,range_world,range_central_asia,range_uzbekistan,endemism,protected_areas,red_book,life_form_ru,life_form_en,habitat_place_ru,habitat_place_en,usage_ru,usage_en,habitat_env_ru,habitat_env_en,range_world_ru,range_world_en,range_central_asia_ru,range_central_asia_en,range_uzbekistan_ru,range_uzbekistan_en
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Liliales,Лилиецветные,Liliaceae,Лилейные,Liliaceae,Tulipa L.,Тюльпан,Tulipa uzbekistanica Botschantz. & Scharipov,тюльпан узбекистанский,O'zbekiston lolasi,,ko'p yillik,ola-bula rangli tog' jinslari ochilmalari,past tog'lar,manzarali,janubi-g'arbiy Pomir-Oloy (O'zbekiston),,g'arbiy tarmoqlari Hisor tizmasi,"G'arbiy tarmoqlari Hisor tizmasi endemigi, O'zbekiston endemigi",yo'q,true,многолетнее,perennial,низкогорья,low mountains,декоративное,ornamental,обнажения пёстроцветных горных пород,outcrops of variegated rocks,юго-западный Памиро-Алай (Узбекистан),southwestern Pamir-Alai (Uzbekistan),,,западный отроги Гиссар хребет,western spurs Hissar range
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Liliales,Лилиецветные,Liliaceae,Лилейные,Liliaceae,Tulipa L.,Тюльпан,Tulipa vvedenskyi Botschantz.,тюльпан Введенского,Vvedenskiy lolasi,,ko'p yillik,"shag'alli, toshloq yonbag'irlar",o'rta tog'lar,manzarali,g'arbiy Tyanshan (O'zbekiston),,"tizmalari Qurama, Chotqol","G'arbiy Tyanshan endemigi, O'zbekiston endemigi","Chotqol qo'riqxonasi, Ugom-Chotqol milliy tabiat bog'i",true,многолетнее,perennial,среднегорья,mid mountains,декоративное,ornamental,"щебнистые, каменистые склоны","gravelly, rocky slopes",западный Тянь-Шань (Узбекистан),western Tian Shan (Uzbekistan),,,"хребты Кураминский, Чаткал","ranges Kurama, Chatkal"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Liliales,Лилиецветные,Liliaceae,Лилейные,Liliaceae,Lloidia Salisb.,Ллойдия,Lloidia serotina (L.) Reichenb.,ллойдия поздняя,kechki lloydiya,,ko'p yillik,"nam toshloq yonbag'irlar, qoyalar, tosh sochilmalari, morenalar",baland tog'lar,manzarali,arktik va baland tog'li hududlar shimoliy yarimshari,"Tarbag'atoy, Jung'or Olatovi, Tyanshan, Pomir-Oloy",,,,false,многолетнее,perennial,высокогорья,high mountains,декоративное,ornamental,"влажные каменистые склоны, скалы, каменистые осыпи, морены","moist rocky slopes, rocks, rock scree, moraines",арктический и высокий горные территории северный полушарие,arctic and high mountainous territories northern hemisphere,"Тарбагатай, Джунгарский Алатау, Тянь-Шань, Памиро-Алай","Tarbagatai, Dzungarian Alatau, Tian Shan, Pamir-Alai",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Liliales,Лилиецветные,Liliaceae,Лилейные,Liliaceae,Korolkowia Regel,Корольковия,Korolkowia sewerzowii Regel,корольковия Северцова,Severtsov olg'isi,,ko'p yillik,"sho'rtob joylar, lyossli, mayda tuproqli, shag'alli, toshloq yonbag'irlar","tog'oldi, past tog'lar, o'rta tog'lar","dorivor, manzarali","Chu-Ili tog'lari, g'arbiy Tyanshan, shimoliy Pomir-Oloy","Chu-Ili tog'lari, g'arbiy Tyanshan, shimoliy Pomir-Oloy",,,,false,многолетнее,perennial,"предгорья, низкогорья, среднегорья","foothills, low mountains, mid mountains","лекарственное, декоративное","medicinal, ornamental","солонцеватые места, лёссовые, мелкоземистые, щебнистые, каменистые склоны","solonetzic places, loess, fine-earth, gravelly, rocky slopes","Чу-Илийские горы, Западный Тянь-Шань, северный Памиро-Алай","Chu-Ili Mountains, Western Tian Shan, northern Pamir-Alai","Чу-Илийские горы, Западный Тянь-Шань, северный Памиро-Алай","Chu-Ili Mountains, Western Tian Shan, northern Pamir-Alai",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Liliales,Лилиецветные,Liliaceae,Лилейные,Liliaceae,Fritillaria Fisch. ex  J.E. Alexander,Рябчик,Fritillaria bucharicum (Regel) Losinsk.,Рябчик бухарский,Buxoro burungultojbargi,,ko'p yillik,"ola-bula rangli tog' jinslari ochilmalari, mayda tuproqli, shag'alli, toshloq yonbag'irlar, qoyalar, tosh sochilmalari","tog'oldi, past tog'lar, o'rta tog'lar","alkaloidli, manzarali",Pomir-Oloy,Pomir-Oloy (bundan tashqari Pomir va Shug'non),,,,false,многолетнее,perennial,"предгорья, низкогорья, среднегорья","foothills, low mountains, mid mountains","алкалоидоносное, декоративное","alkaloid-bearing, ornamental","обнажения пестроцветных пород, мелкоземистые, щебнистые, каменистые склоны, скалы, каменистые осыпи","variegated rock outcrops, fine-earth, gravelly, rocky slopes, rocks, rock scree",Памиро-Алай,Pamir-Alai,Памиро-Алай (кроме того кроме Памир и Шугнан),Pamir-Alai (besides except Pamir and Shugnan),,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Liliales,Лилиецветные,Liliaceae,Лилейные,Liliaceae,Fritillaria Fisch. ex  J.E. Alexander,Рябчик,Fritillaria gibbosum (Boiss.) Losinsk. & Vved.,Рябчик горбатый,bukri burungultojbarg,,ko'p yillik,"qumli, shag'alli cho'llar","tekislik, tog'oldi","alkaloidli, manzarali","ortiKavkaze, O'rta Osiyo, Eron, Afg'oniston, Pokiston","janubi-sharqiy Qoraqum va ostrovnie qumlar janubiy Pomir-Oloy (d. Surxondaryo: qumlar Kattakum, Vaxsh vodiy, atrofi sh. Buryutau, mavze. Kashkakum), Badhiz, Kopetdog'",,,,false,многолетнее,perennial,"равнина, предгорья","plain, foothills","алкалоидоносное, декоративное","alkaloid-bearing, ornamental","песчаные, щебнистые пустыни","sandy, gravelly deserts","Закавказье, Средняя Азия, Иран, Афганистан, Пакистан","Transcaucasia, Central Asia, Iran, Afghanistan, Pakistan","югвосточный Каракумы и островние пески южный Памиро-Алай (р. Сурхандарья: пески Каттакум, Вахш долина, окрестности г. Бурютау, местность. Кашкакум), Бадхыз, Копетдаг","janubi-eastern Karakum and ostrovnie sands southern Pamir-Alai (r. Surkhandarya: sands Kattakum, Vakhsh valley, surroundings c. Buryutau, locality. Kashkakum), Badkhyz, Kopet Dag",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Liliales,Лилиецветные,Liliaceae,Лилейные,Liliaceae,Fritillaria Fisch. ex  J.E. Alexander,Рябчик,Fritillaria karelinii Fisch.,Рябчик Карелина,Karelin burungultojbargi,,ko'p yillik,"qumli, gilli, shag'alli cho'llar, tog' etaklari tekisliklar, qoldiq tog'li past tog'lar, ola-bula rangli tog' jinslari ochilmalari","tekislik, tog'oldi, past tog'lar","alkaloidli, manzarali",O'rta Osiyo,"Betpaqdala, Balxashbo'yi, Orolbo'yi, Kaspiybo'yi cho'llar, Qizilqum, Farg'ona vodiy, g'arbiy Tyanshan, janubiy Pomir-Oloy",,,,false,многолетнее,perennial,"равнина, предгорья, низкогорья","plain, foothills, low mountains","алкалоидоносное, декоративное","alkaloid-bearing, ornamental","песчаные, глинистые, щебнистые пустыни, подгорные равнины, останцовые низкогорья, обнажения пестроцветных пород","sandy, clayey, gravelly deserts, piedmont plains, residual low mountains, variegated rock outcrops",Средняя Азия,Central Asia,"Бетпак-Дала, Прибалхашье, Приаралье, Прикаспийские пустыни, Кызылкум, Ферганская долина, Западный Тянь-Шань, южный Памиро-Алай","Betpak-Dala, Balkhash region, Aral region, Caspian deserts, Kyzylkum, Fergana Valley, Western Tian Shan, southern Pamir-Alai",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Liliales,Лилиецветные,Liliaceae,Лилейные,Liliaceae,Fritillaria Fisch. ex  J.E. Alexander,Рябчик,Fritillaria stenanterum Regel,Рябчик узкопыльниковый,ingichkachangdonli burungultojbarg,,ko'p yillik,"lyossli, mayda tuproqli, shag'alli, toshloq yonbag'irlar","tog'oldi, past tog'lar, o'rta tog'lar","alkaloidli, manzarali","g'arbiy Tyanshan, Severiny Pomir-Oloy","g'arbiy Tyanshan, Pomir-Oloy (tizmasi Oloy)",,,,false,многолетнее,perennial,"предгорья, низкогорья, среднегорья","foothills, low mountains, mid mountains","алкалоидоносное, декоративное","alkaloid-bearing, ornamental","лёссовые, мелкоземистые, щебнистые, каменистые склоны","loess, fine-earth, gravelly, rocky slopes","Западный Тянь-Шань, Северины Памиро-Алай","Western Tian Shan, Severiny Pamir-Alai","Западный Тянь-Шань, Памиро-Алай (хребет Алай)","Western Tian Shan, Pamir-Alai (range Alai)",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Liliales,Лилиецветные,Liliaceae,Лилейные,Liliaceae,Fritillaria Ludw.,Рябчик,Fritillaria eduardii (Regel) Vved.,рябчик Эдуарда,"xolmon isirg'aguli, Eduard petiliumi",,ko'p yillik,"mayda tuproqli, toshloq yonbag'irlar, tosh sochilmalari, bargli o'rmonlar va butazorlar",o'rta tog'lar,"alkaloidli, manzarali, noyob tur","Pomir-Oloy, Afg'oniston",Pomir-Oloy (janubiy va Oloy tizmasi: vodiy d. So'x),"tizmalari Bobotog', Hisor, Oloy",,yo'q,true,многолетнее,perennial,среднегорья,mid mountains,"алкалоидоносное, декоративное, редкий вид","alkaloid-bearing, ornamental, rare species","мелкоземистые, каменистые склоны, каменистые осыпи, лиственные леса и кустарники","fine-earth, rocky slopes, rock scree, deciduous forests and shrublands","Памиро-Алай, Афганистан","Pamir-Alai, Afghanistan",Памиро-Алай (южный и Алай хребет: долина р. Сох),Pamir-Alai (southern and Alai range: valley r. Sokh),"хребты Бабатаг, Гиссар, Алай","ranges Babatag, Hissar, Alai"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Liliales,Лилиецветные,Liliaceae,Лилейные,Liliaceae,Fritillaria L.,Рябчик,Fritillaria olgae Vved.,рябчик Ольги,Olga jumaguli,,ko'p yillik,"mayda tuproqli, shag'alli, toshloq yonbag'irlar, darasi, soya joylar, changalzorlar butalar","past tog'lar, o'rta tog'lar, baland tog'lar","alkaloidli, manzarali",g'arbiy Pomir-Oloy,g'arbiy Pomir-Oloy,,,,false,многолетнее,perennial,"низкогорья, среднегорья, высокогорья","low mountains, mid mountains, high mountains","алкалоидоносное, декоративное","alkaloid-bearing, ornamental","мелкоземистые, щебнистые, каменистые склоны, ущелье, тень места, заросли кустарников","fine-earth, gravelly, rocky slopes, gorge, shade places, shrub thickets",Западный Памиро-Алай,Western Pamir-Alai,Западный Памиро-Алай,Western Pamir-Alai,,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Liliales,Лилиецветные,Liliaceae,Лилейные,Liliaceae,Fritillaria L.,Рябчик,Fritillaria ferganensis Losinsk.,рябчик ферганский,"Farg'ona jumaguli, qo'zilola",,ko'p yillik,"toshloq yonbag'irlar, qoyalar, ohaktosh ochilmalari, archazorlar","past tog'lar, o'rta tog'lar, baland tog'lar","alkaloidli, manzarali","Jung'or Olatovi, Tyanshan, shimoliy Pomir-Oloy","Jung'or Olatovi, Tyanshan (tizmalari markaziy Tyanshan, Iliorti Olatov, Qirg'iz Olatov, Farg'ona), Pomir-Oloy (tizmalari Turkiston, Oloy, Oloyorti va Oloy vodiy)",,,,false,многолетнее,perennial,"низкогорья, среднегорья, высокогорья","low mountains, mid mountains, high mountains","алкалоидоносное, декоративное","alkaloid-bearing, ornamental","каменистые склоны, скалы, известняк обнажения, арчовники","rocky slopes, rocks, limestone outcrops, juniper forests","Джунгарский Алатау, Тянь-Шань, северный Памиро-Алай","Dzungarian Alatau, Tian Shan, northern Pamir-Alai","Джунгарский Алатау, Тянь-Шань (хребты центральный Тянь-Шань, Заилийский Алатау, Киргизский Алатау, Фергана), Памиро-Алай (хребты Туркестан, Алай, Заалайский и Алай долина)","Dzungarian Alatau, Tian Shan (ranges central Tian Shan, Trans-Ili Alatau, Kyrgyz Alatau, Fergana), Pamir-Alai (ranges Turkestan, Alai, Trans-Alai and Alai valley)",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Liliales,Лилиецветные,Liliaceae,Лилейные,Liliaceae,Fritillaria L.,Рябчик,Fritillaria yakutiae Turginov & Tojibaev,рябчик якутии,yakuti jumaguli,,,,,,,"Fritillaria yakutii ilk bor Surxondaryo viloyati, Bobotog' tizmasining Chagam qishlog'i yaqinidan 2020-yil bahorida topilgan.",,,,false,,,,,,,,,,,"Фритиллариа якутии первый есть Сурхандарья область, Бабатаг хребта Чагам село вблизи 2020год весной найден.","Fritillaria yakutii first present Surkhandarya region, Babatag of the range Chagam village near 2020year in spring found.",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Asparagales,Спаржецветные,Iridaceae,Ирисовые,Iridaceae,Crocus L.,Шафран,Crocus alatavicus Regel & Sem.,шафран алатавский,Olatog' zafaroni,,ko'p yillik,"mayda tuproqli, shag'alli, toshloq yonbag'irlar, zax joylar yaqinida qorliklar","tog'oldi, past tog'lar, o'rta tog'lar, baland tog'lar","manzarali, zaharli","Jung'or Olatovi, Tyanshan, shimoliy Pomir-Oloy (Qozog'iston, Kirgistan, O'zbekiston)","Toshkent atrofi cho'li, Jung'or Olatovi, Tyanshan, shimoliy Pomir-Oloy (Qozog'iston, Kirgistan, O'zbekiston)","tizmalari Ugom, Piskom, Chotqol, Qurama",Tog'li o'rta Osiyo endemigi,"Chotqol qo'riqxonasi, Ugom-Chotqol milliy tabiat bog'i",false,многолетнее,perennial,"предгорья, низкогорья, среднегорья, высокогорья","foothills, low mountains, mid mountains, high mountains","декоративное, ядовитое","ornamental, poisonous","мелкоземистые, щебнистые, каменистые склоны, сырые места вблизи снежники","fine-earth, gravelly, rocky slopes, damp places near snowfields","Джунгарский Алатау, Тянь-Шань, северный Памиро-Алай (Казахстан, Киргистан, Узбекистан)","Dzungarian Alatau, Tian Shan, northern Pamir-Alai (Kazakhstan, Kirgistan, Uzbekistan)","Ташкентская пустыня, Джунгарский Алатау, Тянь-Шань, северный Памиро-Алай (Казахстан, Киргистан, Узбекистан)","Tashkent desert, Dzungarian Alatau, Tian Shan, northern Pamir-Alai (Kazakhstan, Kirgistan, Uzbekistan)","хребты Угам, Пскем, Чаткал, Кураминский","ranges Ugam, Pskem, Chatkal, Kurama"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Asparagales,Спаржецветные,Iridaceae,Ирисовые,Iridaceae,Crocus L.,Шафран,Crocus korolkowii Regel & Maw,шафран Королькова,Korolkov zafaroni,,ko'p yillik,"lyossli, mayda tuproqli, shag'alli, toshloq yonbag'irlar, zax joylar yaqinida qorliklar, ola-bula rangli tog' jinslari ochilmalari","tog'oldi, past tog'lar, o'rta tog'lar","manzarali, pishchevoy krasitel","g'arbiy Tyanshan, Pomir-Oloy (Qozog'iston, Tojikiston, O'zbekiston)","g'arbiy Tyanshan (Sirdaryo Qoratov), Pomir-Oloy (Qozog'iston, Tojikiston, O'zbekiston)","tizmalari Oloy, Turkiston, Molguzar, Zarafshon, Hisor, Ko'hitang, Bobotog'",Tog'li o'rta Osiyo endemigi,"Hisor, Zomin, Kitob, Surxon qo'riqxonalar, Zomin milliy tabiat bog'i",false,многолетнее,perennial,"предгорья, низкогорья, среднегорья","foothills, low mountains, mid mountains","декоративное, пищевой краситель","ornamental, food dye","лёссовые, мелкоземистые, щебнистые, каменистые склоны, сырые места вблизи снежники, обнажения пестроцветных пород","loess, fine-earth, gravelly, rocky slopes, damp places near snowfields, variegated rock outcrops","Западный Тянь-Шань, Памиро-Алай (Казахстан, Таджикистан, Узбекистан)","Western Tian Shan, Pamir-Alai (Kazakhstan, Tajikistan, Uzbekistan)","западный Тянь-Шань (Сырдарья Каратау), Памиро-Алай (Казахстан, Таджикистан, Узбекистан)","western Tian Shan (Syr Darya Karatau), Pamir-Alai (Kazakhstan, Tajikistan, Uzbekistan)","хребты Алай, Туркестан, Мальгузар, Зарафшан, Гиссар, Кугитанг, Бабатаг","ranges Alai, Turkestan, Malguzar, Zarafshan, Hissar, Kugitang, Babatag"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Asparagales,Спаржецветные,Iridaceae,Ирисовые,Iridaceae,Iris L.,Ирис,Iris anvarbekii Tojibaev & Ortiqov,ирис Анварбек,Anvarbek gulsafsari,,ko'p yillik,,,,,"Bu o'simlik faqatgina Surxondaryo viloyati, Sho'rab qishlog'i yaqinidan topilgan",,,,false,многолетнее,perennial,,,,,,,,,"Бу растение только Сурхандарья область, Шураб село вблизи найден","Bu plant only Surkhandarya region, Shurab village near found",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Asparagales,Спаржецветные,Iridaceae,Ирисовые,Iridaceae,Iris L.,Ирис,Iris alberti Regel,ирис Альберта,Albert gulsafsari,,ko'p yillik,"mayda tuproqli, shag'alli, toshloq yonbag'irlar",tog'oldi,"manzarali, bo'yoqbop, dorivor","Tyanshan (Qozog'iston, Qirg'iziston, O'zbekiston)",Tyanshan,janubiy tog'oldi Chotqol tizmasi,Tyanshan endemigi,yo'q,false,многолетнее,perennial,предгорья,foothills,"декоративное, красильное, лекарственное","ornamental, dye, medicinal","мелкоземистые, щебнистые, каменистые склоны","fine-earth, gravelly, rocky slopes","Тянь-Шань (Казахстан, Киргизия, Узбекистан)","Tian Shan (Kazakhstan, Kyrgyzstan, Uzbekistan)",Тянь-Шань,Tian Shan,южный предгорья Чаткал хребет,southern foothills Chatkal range
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Asparagales,Спаржецветные,Iridaceae,Ирисовые,Iridaceae,Iris L.,Ирис,"Iris austrotschatkalica Tojibaev, F. Karim. & Turgunov",ирис южночаткальский,janubichotqol gulsafsari,,ko'p yillik,,past tog'lar,manzarali,janubiy tog'oldi Chotqol tizmasi (O'zbekiston),,janubiy tog'oldi Chotqol tizmasi,"Farg'ona vodiylar endemigi, O'zbekiston endemigi",yo'q,false,многолетнее,perennial,низкогорья,low mountains,декоративное,ornamental,,,южный предгорья Чаткал хребет (Узбекистан),southern foothills Chatkal range (Uzbekistan),,,южный предгорья Чаткал хребет,southern foothills Chatkal range
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Asparagales,Спаржецветные,Iridaceae,Ирисовые,Iridaceae,Iris L.,Ирис,Iris bucharica Foster,ирис бухарский,Buxoro gulsafsari,,ko'p yillik,"mayda tuproqli, toshloq yonbag'irlar","past tog'lar, o'rta tog'lar","manzarali, alkaloidli",janubi-g'arbiy Pomir-Oloy (O'zbekiston),janubiy Pomir-Oloy,"janubiy yonbag'ir Hisor tizmasi, Boysun tog'lari, Ko'hitang","Janubi-g'arbiy Pomir-Oloy endemigi, O'zbekiston endemigi",Surxon qo'riqxonasi,false,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains","декоративное, алкалоидоносное","ornamental, alkaloid-bearing","мелкоземистые, каменистые склоны","fine-earth, rocky slopes",юго-западный Памиро-Алай (Узбекистан),southwestern Pamir-Alai (Uzbekistan),Южный Памиро-Алай,Southern Pamir-Alai,"южный склон Гиссар хребет, Байсунские горы, Кугитанг","southern slope Hissar range, Baysun Mountains, Kugitang"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Asparagales,Спаржецветные,Iridaceae,Ирисовые,Iridaceae,Iris L.,Ирис,Iris capnoides (Vved.) T. Hall & Seisums,ирис дымчатый,surma rang gulsafsar,,ko'p yillik,"mayda tuproqli, toshloq yonbag'irlar",o'rta tog'lar,manzarali,g'arbiy Tyanshan,,"tizmalari Chotqol, Qurama","G'arbiy Tyanshan endemigi, O'zbekiston endemigi","Chotqol qo'riqxonasi, Ugom-Chotqol milliy tabiat bog'i",false,многолетнее,perennial,среднегорья,mid mountains,декоративное,ornamental,"мелкоземистые, каменистые склоны","fine-earth, rocky slopes",Западный Тянь-Шань,Western Tian Shan,,,"Чаткальский, Кураминский хребты","Chatkal, Kurama Ranges"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Asparagales,Спаржецветные,Iridaceae,Ирисовые,Iridaceae,Iris L.,Ирис,Iris falcifolia Bunge,ирис серполистный,o'roqbarg gulsafsar,,ko'p yillik,"qumli, gilli, shag'alli cho'llar, yonbag'irlar ostansovix tog'lar, tog' etaklari tekisliklar, lyossli yonbag'irlar tog'oldi","tekislik, tog'oldi",manzarali,"Qizilqum, Toshkent atrofi cho'li, Pomir-Oloy, Kopetdog' (Qozog'iston, O'zbekiston, Tojikiston, Turkmaniston)","Qizilqum, Toshkent atrofi cho'li, Pomir-Oloy, Kopetdog'","Qizilqum, Mirzacho'l, Qarshi dasht, Surxon-Sherobod vodiy, tog'oldi Hisor tizmasi, Ko'hitang va Bobotog'",O'rta Osiyo endemigi,yo'q,false,многолетнее,perennial,"равнина, предгорья","plain, foothills",декоративное,ornamental,"песчаные, глинистые, щебнистые пустыни, склоны остансових горы, подгорные равнины, лёссовые склоны предгорья","sandy, clayey, gravelly deserts, slopes ostansovix mountains, piedmont plains, loess slopes foothills","Кызылкум, Ташкентская пустыня, Памиро-Алай, Копетдаг (Казахстан, Узбекистан, Таджикистан, Туркменистан)","Kyzylkum, Tashkent desert, Pamir-Alai, Kopet Dag (Kazakhstan, Uzbekistan, Tajikistan, Turkmenistan)","Кызылкум, Ташкентская пустыня, Памиро-Алай, Копетдаг","Kyzylkum, Tashkent desert, Pamir-Alai, Kopet Dag","Кызылкум, Голодная степь, Каршинская степь, Сурхан-Шерабадская долина, предгорья Гиссар хребет, Кугитанг и Бабатаг","Kyzylkum, Mirzachul, Karshi steppe, Surkhan-Sherabad Valley, foothills Hissar range, Kugitang and Babatag"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Asparagales,Спаржецветные,Iridaceae,Ирисовые,Iridaceae,Iris L.,Ирис,Iris fedtschenkoi F.O. Khass. & Rakhimova,ирис голубой,moviy gulsafsar,,ko'p yillik,"mayda tuproqli, shag'alli, toshloq yonbag'irlar",o'rta tog'lar,manzarali,"g'arbiy Tyanshan (Qozog'iston, O'zbekiston)",g'arbiy Tyanshan,"tizmalari Qorajontov, Ugom, Piskom",G'arbiy Tyanshan endemigi,Ugom-Chotqol milliy tabiat bog'i,false,многолетнее,perennial,среднегорья,mid mountains,декоративное,ornamental,"мелкоземистые, щебнистые, каменистые склоны","fine-earth, gravelly, rocky slopes","западный Тянь-Шань (Казахстан, Узбекистан)","western Tian Shan (Kazakhstan, Uzbekistan)",Западный Тянь-Шань,Western Tian Shan,"хребты Каржантау, Угам, Пскем","ranges Karzhantau, Ugam, Pskem"
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Asparagales,Спаржецветные,Iridaceae,Ирисовые,Iridaceae,Iris L.,Ирис,Iris halophyla Pallas,ирис солелюбивый,sho'rsevar gulsafsar,,ko'p yillik,"nam sho'rtob o'tloqlar, daryo qirg'oqlari va ko'llar",tog'oldi,manzarali,"Sharqiy Yevropa, Kavkaz, O'rta Osiyo (shimoliy qismi), G'arbiy Sibir, Mongoliya","Zaysan botiq, Qozog'iston past tog'lik, Balxashbo'yi cho'llar (atrofi Temira: Igendi-Bulak), vodiy. d. Sirdaryo, Tarbag'atoy, Jung'or Olatovi, Tyanshan (shimoliy, markaziy: Djeti-Oguz, g'arbiy: tog'oldi Qoratov, Chu-Ili tog'lari)",,,yo'q,false,многолетнее,perennial,предгорья,foothills,декоративное,ornamental,"влажные солонцеватые луга, река берега и озёра","moist solonetzic meadows, river shores and lakes","Восточная Европа, Кавказ, средний Азия (северный часть), Западная Сибирь, Монголия","Eastern Europe, Caucasus, middle Asia (northern part), Western Siberia, Mongolia","Зайсанская котловина, Казахский мелкосопочник, Прибалхашские пустыни (окрестности Темира: Игенди-булак), долина. р. Сырдарья, Тарбагатай, Джунгарский Алатау, Тянь-Шань (северный, центральный: Джети-огуз, западный: предгорья Каратау, Чу-Илийский горы)","Zaysan Basin, Kazakh Uplands, Balkhash deserts (surroundings Temira: Igendi-Bulak), valley. r. Syr Darya, Tarbagatai, Dzungarian Alatau, Tian Shan (northern, central: Djeti-Oguz, western: foothills Karatau, Chu-Ili mountains)",,
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Asparagales,Спаржецветные,Iridaceae,Ирисовые,Iridaceae,Iris L.,Ирис,Iris hippolyti (Vved.) Kamelin ex Takht.,ирис Ипполита,Ippolit gulsafsari,,ko'p yillik,qoldiq tog'li past tog'lar,"tekislik, tog'oldi",manzarali,janubi-g'arbiy Qizilqum (qoldiq tog' Kokchatau),Qizilqum (janubiy: Kokcha),qoldiq tog' Kokchatau,"Janubi-g'arbiy Qizilqum endemigi, O'zbekiston endemigi",yo'q,true,многолетнее,perennial,"равнина, предгорья","plain, foothills",декоративное,ornamental,останцовые низкогорья,residual low mountains,югзападный Кызылкум (останцовые гора Кокчатау),janubi-western Kyzylkum (residual mountain Kokchatau),Кызылкум (южный: Кокча),Kyzylkum (southern: Kokcha),останцовые гора Кокчатау,residual mountain Kokchatau
MAGNOLIOPHYTA,ПОКРЫТОСЕМЕННЫЕ,Liliopsida,Однодольные,Asparagales,Спаржецветные,Iridaceae,Ирисовые,Iridaceae,Iris L.,Ирис,Iris inconspicua (Vved.) T. Hall & Seisums,ирис незаметный,ko'rimsiz gulsafsar,,ko'p yillik,"mayda tuproqli, toshloq yonbag'irlar",tog'oldi,manzarali,"Chu-Ili tog'lari, g'arbiy Tyanshan (Qozog'iston, Qirg'iziston, O'zbekiston)","Chu-Ili tog'lari, g'arbiy Tyanshan","tizmalari Qorajontov, Chotqol, Qurama",Tyanshan endemigi,yo'q,false,многолетнее,perennial,предгорья,foothills,декоративное,ornamental,"мелкоземистые, каменистые склоны","fine-earth, rocky slopes","Чу-Илийские горы, западный Тянь-Шань (Казахстан, Киргизия, Узбекистан)","Chu-Ili Mountains, western Tian Shan (Kazakhstan, Kyrgyzstan, Uzbekistan)","Чу-Илийские горы, Западный Тянь-Шань","Chu-Ili Mountains, Western Tian Shan","хребты Каржантау, Чаткал, Кураминский","ranges Karzhantau, Chatkal, Kurama"
